"species","x","y","longitude","latitude"
"Phoebe sheareri",1400416.743,3231819.348,119.6755629,29.61150653
"Phoebe sheareri",-144472.0858,3128716.044,103.4915456,29.60697553
"Phoebe sheareri",-148513.1602,3125125.993,103.4499441,29.57439932
"Phoebe sheareri",1052156.917,3181180.043,116.002269,29.564174
"Phoebe sheareri",1219980.203,3201125.46,117.7659101,29.56204951
"Phoebe sheareri",-154011.7048,3123366.482,103.392862,29.55792501
"Phoebe sheareri",1167788.079,3193837.51,117.2160546,29.55597328
"Phoebe sheareri",1046385.8,3177512.212,115.9382013,29.53732962
"Phoebe sheareri",1402139.378,3222674.994,119.6792874,29.52855775
"Phoebe sheareri",1044309.015,3172803.687,115.911279,29.49761
"Phoebe sheareri",1338061.83,3208987.052,118.9974509,29.48998499
"Phoebe sheareri",1050939.919,3171729.308,115.9787628,29.48157314
"Phoebe sheareri",1365731.128,3211955.51,119.2873981,29.48115403
"Phoebe sheareri",1058203.487,3169489.98,116.0514259,29.45453917
"Phoebe sheareri",1260555.871,3192695.98,118.173967,29.440322
"Phoebe sheareri",1353821.245,3203316.974,119.1516996,29.42003022
"Phoebe sheareri",522986.2933,3119590.216,110.450279,29.407237
"Phoebe sheareri",1204776.904,3175390.38,117.574608,29.35155044
"Phoebe sheareri",1331236.243,3190732.961,118.9004207,29.33722506
"Phoebe sheareri",-166787.1739,3098285.067,103.2641497,29.33223233
"Phoebe sheareri",1359522.567,3193904.465,119.1965147,29.32964361
"Phoebe sheareri",1300801.632,3184268.862,118.5774527,29.3175531
"Phoebe sheareri",1313934.686,3184827.098,118.7136037,29.30642806
"Phoebe sheareri",1271793.214,3176330.019,118.2672973,29.28223766
"Phoebe sheareri",1538297.638,3215553.279,121.0690793,29.27834937
"Phoebe sheareri",212990.4679,3092952.694,107.2153341,29.27643994
"Phoebe sheareri",1168658.952,3162134.753,117.1845764,29.27424771
"Phoebe sheareri",1262030.403,3172669.406,118.1616132,29.26141568
"Phoebe sheareri",1303988.77,3177919.624,118.6012824,29.25752714
"Phoebe sheareri",1313989.346,3178179.132,118.7046498,29.24758375
"Phoebe sheareri",944081.6537,3129813.167,114.8269732,29.20926692
"Phoebe sheareri",1537815.005,3202354.224,121.04204,29.16274702
"Phoebe sheareri",523875.3087,3087728.715,110.441345,29.12281556
"Phoebe sheareri",1539650.403,3197226.185,121.0522803,29.11491813
"Phoebe sheareri",1018862.449,3124958.393,115.594312,29.09759902
"Phoebe sheareri",205750.8619,3068027.175,107.134485,29.055362
"Phoebe sheareri",221730.8863,3064614.164,107.2993867,29.02170146
"Phoebe sheareri",204031.2749,3061174.1,107.1151368,28.99449819
"Phoebe sheareri",1490111.009,3175303.536,120.5088879,28.99162805
"Phoebe sheareri",1507081.977,3177913.104,120.6868671,28.9909322
"Phoebe sheareri",213124.152,3058688.682,107.2087966,28.970535
"Phoebe sheareri",228900.3771,3057236.525,107.3718802,28.95431642
"Phoebe sheareri",1258789.532,3131535.687,118.0720501,28.90109931
"Phoebe sheareri",1283671.307,3130826.93,118.3263925,28.86535623
"Phoebe sheareri",1227570.64,3119924.115,117.7360636,28.8343831
"Phoebe sheareri",946712.4772,3087444.628,114.810741,28.83038743
"Phoebe sheareri",1534237.789,3162166.828,120.9386408,28.81356358
"Phoebe sheareri",502963.4411,3051023.169,110.204579,28.805426
"Phoebe sheareri",1035997.186,3090590.496,115.732622,28.775951
"Phoebe sheareri",1538327.307,3155134.535,120.9687472,28.74568437
"Phoebe sheareri",430691.9287,3038582.826,109.4520445,28.72578177
"Phoebe sheareri",451525.0872,3037321.038,109.6664736,28.70596887
"Phoebe sheareri",1401700.711,3126319.006,119.528204,28.677987
"Phoebe sheareri",1054531.191,3081548.114,115.9128425,28.67759571
"Phoebe sheareri",614432.7213,3040186.939,111.3480234,28.65081276
"Phoebe sheareri",319073.913,3025293.974,108.294693,28.646007
"Phoebe sheareri",1505407.419,3132592.261,120.5962285,28.59331283
"Phoebe sheareri",1361354.403,3110074.245,119.0919729,28.58608331
"Phoebe sheareri",1443467.32,3118367.858,119.9423712,28.55247592
"Phoebe sheareri",112063.4538,3001735.84,106.1546872,28.47689525
"Phoebe sheareri",1443567.24,3109424.619,119.9295731,28.47327818
"Phoebe sheareri",1479778.355,3114907.743,120.3069146,28.47262369
"Phoebe sheareri",97004.34385,2999871.146,105.999338,28.461682
"Phoebe sheareri",1257247.526,3080840.556,117.9877448,28.45367438
"Phoebe sheareri",1277589.82,3082291.364,118.1974202,28.44261506
"Phoebe sheareri",1192070.15,3065002.438,117.3013404,28.38721292
"Phoebe sheareri",1551745.54,3115839.819,121.0402965,28.37966539
"Phoebe sheareri",1557118.855,3115431.582,121.0941956,28.36831737
"Phoebe sheareri",1345407.548,3082436.222,118.889301,28.36141104
"Phoebe sheareri",1309828.125,3077050.948,118.5190599,28.35748928
"Phoebe sheareri",1313869.295,3074004.102,118.5559867,28.32557367
