"species","x","y","longitude","latitude"
"Phoebe hunanensis",946712.4772,3087444.628,114.810741,28.83038743
"Phoebe hunanensis",950473.716,3104087.333,114.866547,28.975014
"Phoebe hunanensis",956393.3166,3104004.951,114.9275036,28.9690195
"Phoebe hunanensis",961437.9605,3118654.344,114.994773,29.094684
"Phoebe hunanensis",965133.5998,3101489.705,115.0149926,28.93883673
"Phoebe hunanensis",966704.3989,3093136.322,115.0224611,28.863176
"Phoebe hunanensis",962307.5316,3150289.464,115.036886,29.374878
"Phoebe hunanensis",986744.4701,3092598.571,115.228205,28.840167
"Phoebe hunanensis",989424.3629,3125403.01,115.290907,29.1291455
"Phoebe hunanensis",1024217.357,2845457.618,115.3477909,26.60314703
"Phoebe hunanensis",1029370.641,2816995.006,115.3695517,26.34388259
"Phoebe hunanensis",1042065.175,2812324.34,115.4915341,26.29014332
"Phoebe hunanensis",1014774.811,3073058.355,115.4952898,28.64038975
"Phoebe hunanensis",987106.4711,3396850.681,115.5663562,31.53598136
"Phoebe hunanensis",1018862.449,3124958.393,115.594312,29.09759902
"Phoebe hunanensis",1020748.018,3191018.547,115.6874297,29.68195129
"Phoebe hunanensis",1030329.656,3184552.172,115.7796455,29.61539057
"Phoebe hunanensis",1013166.144,3354641.124,115.7942033,31.13797083
"Phoebe hunanensis",1034099.37,3174613.742,115.8075006,29.52360623
"Phoebe hunanensis",1044309.015,3172803.687,115.911279,29.49761
"Phoebe hunanensis",1026633.979,3360587.184,115.9434921,31.17745155
"Phoebe hunanensis",1047677.201,3180579.324,115.955115,29.56325799
"Phoebe hunanensis",1050117.469,3193735.859,115.9955986,29.67749488
"Phoebe hunanensis",1051253.575,3185538.45,115.997928,29.603706
"Phoebe hunanensis",1172397.563,3171074.29,117.234591,29.349343
"Phoebe hunanensis",1250500.817,3162740.456,118.0292442,29.18708365
